metric_id,metric_code,metric_label,definition,concept_code,vendor_code,is_derived,source_vendor_codes,unit,direction,geo_level_code,frequency_code,is_active,data_status_code,snowflake_column,table_path,metric_category_code,is_opco_metric
CENSUS_MAN_1E642DF9B5,census_census_acs5_h3_r8_snapshot_bachelors_plus_share,Census Bachelors Plus Share,Census Bachelors Plus Share (bachelors plus share).,pipeline,census,FALSE,Census,pct,neutral,cbsa,monthly,TRUE,under_review,BACHELORS_PLUS_SHARE,TRANSFORM.DEV.FACT_CENSUS_ACS5_H3_R8_SNAPSHOT,coincident,FALSE
CENSUS_MAN_1F1EE38335,census_acs_demographics_county_unemployed,Census Unemployed,Census Unemployed (unemployed).,unemployment,census,FALSE,Census,varies,neutral,county,monthly,TRUE,under_review,UNEMPLOYED,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,coincident,FALSE
CENSUS_MAN_213186C34E,census_acs_demographics_county_owner_share,Census Owner Share,Census Owner Share (owner share).,pipeline,census,FALSE,Census,pct,neutral,county,monthly,TRUE,under_review,OWNER_SHARE,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,coincident,FALSE
CENSUS_MAN_221DE14CF6,census_census_acs5_h3_r8_snapshot_renter_share,Census Renter Share,Census Renter Share (renter share).,rent,census,FALSE,Census,pct,neutral,cbsa,monthly,TRUE,under_review,RENTER_SHARE,TRANSFORM.DEV.FACT_CENSUS_ACS5_H3_R8_SNAPSHOT,coincident,FALSE
CENSUS_MAN_2283C9AA84,census_census_acs5_h3_r8_snapshot_gross_rent_pct_income_wavg,Census Gross Rent Pct Income Wavg,Census Gross Rent Pct Income Wavg (gross rent pct income wavg).,rent,census,FALSE,Census,pct,positive,cbsa,monthly,TRUE,under_review,GROSS_RENT_PCT_INCOME_WAVG,TRANSFORM.DEV.FACT_CENSUS_ACS5_H3_R8_SNAPSHOT,coincident,FALSE
CENSUS_MAN_229D8EDB07,census_acs_demographics_county_single_person_households_pct_change_acs5_5yr,Census Single Person Households Pct Change Acs5 5Yr,Census Single Person Households Pct Change Acs5 5Yr (single person households pct change acs5 5yr).,population,census,FALSE,Census,pct,neutral,county,monthly,TRUE,under_review,SINGLE_PERSON_HOUSEHOLDS_PCT_CHANGE_ACS5_5YR,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,coincident,FALSE
CENSUS_MAN_22C59FA25A,census_census_acs5_h3_r8_snapshot_commute_30plus_share,Census Commute 30Plus Share,Census Commute 30Plus Share (commute 30plus share).,pipeline,census,FALSE,Census,pct,neutral,cbsa,monthly,TRUE,under_review,COMMUTE_30PLUS_SHARE,TRANSFORM.DEV.FACT_CENSUS_ACS5_H3_R8_SNAPSHOT,coincident,FALSE
CENSUS_MAN_259261E866,census_acs_demographics_county_pct_under_18,Census Pct Under 18,Census Pct Under 18 (pct under 18).,pipeline,census,FALSE,Census,pct,neutral,county,monthly,TRUE,under_review,PCT_UNDER_18,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,coincident,FALSE
CENSUS_MAN_2716F54241,census_acs_demographics_county_pct_commute_under_30_min,Census Pct Commute Under 30 Min,Census Pct Commute Under 30 Min (pct commute under 30 min).,pipeline,census,FALSE,Census,pct,neutral,county,monthly,TRUE,under_review,PCT_COMMUTE_UNDER_30_MIN,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,coincident,FALSE
CENSUS_MAN_2722FBB41A,census_acs_demographics_county_pct_drove_alone,Census Pct Drove Alone,Census Pct Drove Alone (pct drove alone).,pipeline,census,FALSE,Census,pct,neutral,county,monthly,TRUE,under_review,PCT_DROVE_ALONE,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,coincident,FALSE
CENSUS_MAN_29357AF79A,census_acs_demographics_county_pct_25_44_ppt_change_acs5_5yr,Census Pct 25 44 Ppt Change Acs5 5Yr,Census Pct 25 44 Ppt Change Acs5 5Yr (pct 25 44 ppt change acs5 5yr).,pipeline,census,FALSE,Census,pct,neutral,county,monthly,TRUE,under_review,PCT_25_44_PPT_CHANGE_ACS5_5YR,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,coincident,FALSE
