bridge_product_type_metric_id,product_type_code,metric_code,is_required,sort_order,is_active
312,mf_midrise,progress_fund_spine_yardi_property_status,0,43,1
114,mf_midrise,progress_acquisition_uw_acquisition_purchase_price,0,44,1
123,mf_midrise,progress_acquisition_uw_acquisition_cap_rate,0,45,1
132,mf_midrise,progress_acquisition_uw_acquisition_net_yield,0,46,1
141,mf_midrise,progress_acquisition_uw_fdd_purchase_price,0,47,1
150,mf_midrise,progress_acquisition_uw_fdd_closing_date,0,48,1
159,mf_midrise,progress_acquisition_uw_fdd_stabilized,0,49,1
618,mf_midrise,zillow_rental_forecasts_observe,0,50,0
636,mf_midrise,markerr_rent_listings_county_cnt_multi_family,0,51,0
528,mf_midrise,markerr_rent_sfr_observe,0,52,0
501,mf_midrise,costar_mf_market_cbsa_monthly_observe,0,53,0
447,mf_midrise,rent_median_psf_zip_monthly_planned,0,54,0
564,mf_midrise,yardi_matrix_submarketmatch_zipzcta_bh_observe,0,55,0
645,mf_midrise,cherre_vacant_h3_r8_mf_vacant_parcels,0,56,0
600,mf_midrise,zillow_market_heat_index_observe,0,57,0
555,mf_midrise,realtor_inventory_cbsa_observe,0,58,0
609,mf_midrise,zillow_new_construction_observe,0,59,0
465,mf_midrise,supply_pipeline_under_construction_units_county_planned,0,60,0
591,mf_midrise,zillow_home_values_forecasts_observe,0,61,0
582,mf_midrise,zillow_home_values_observe,0,62,0
627,mf_midrise,zillow_sales_observe,0,63,0
510,mf_midrise,fhfa_house_price_observe,0,64,0
519,mf_midrise,fhfa_uniform_appraisal_observe,0,65,0
474,mf_midrise,cherre_recorder_sale_transactions_county_planned,0,66,0
537,mf_midrise,oxford_amreg_quarterly_observe,0,67,0
546,mf_midrise,oxford_wdmarco_quarterly_observe,0,68,0
573,mf_midrise,zillow_affordability_observe,0,69,0
456,mf_midrise,cybersyn_acs5_median_household_income_county_planned,0,70,0
483,mf_midrise,census_pep_cbsa_annual_observe,0,71,0
492,mf_midrise,census_pep_county_annual_observe,0,72,0
45,mf_skyscraper,zillow_rentals_metric_value,0,1,1
104,mf_skyscraper,markerr_rent_property_cbsa_avg_rent_effective,0,2,1
105,mf_skyscraper,markerr_rent_property_cbsa_avg_rent_asking,0,3,1
106,mf_skyscraper,yardi_matrix_marketperformance_bh_datavalue,0,4,1
107,mf_skyscraper,costar_scenarios_market_effective_rent_per_unit,0,5,1
108,mf_skyscraper,costar_scenarios_market_asking_rent_per_unit,0,6,1
36,mf_skyscraper,cybersyn_hud_timeseries_value,0,7,1
27,mf_skyscraper,cybersyn_hud_timeseries_value_cbsa,1,8,1
54,mf_skyscraper,zillow_days_on_market_and_price_cuts_metric_value,0,9,1
63,mf_skyscraper,zillow_for_sale_listings_metric_value,0,10,1
378,mf_skyscraper,bps_permits_measure_value,0,11,1
9,mf_skyscraper,cybersyn_fhfa_house_price_timeseries_value,1,12,1
18,mf_skyscraper,cybersyn_fhfa_house_price_timeseries_value_cbsa,1,13,1
324,mf_skyscraper,cybersyn_fhfa_uniform_appraisal_value_county,0,14,1
333,mf_skyscraper,cybersyn_fhfa_uniform_appraisal_value_cbsa,0,15,1
387,mf_skyscraper,bls_laus_unemployment_rate_county,0,16,1
396,mf_skyscraper,bls_laus_unemployed_persons_county,0,17,1
198,mf_skyscraper,bls_laus_employment_persons_county,0,18,1
207,mf_skyscraper,bls_laus_labor_force_persons_county,0,19,1
216,mf_skyscraper,lehd_lodes_od_bg_jobs_total,0,20,1
225,mf_skyscraper,bls_qcew_county_naics_employment,0,21,1
234,mf_skyscraper,bls_qcew_county_naics_total_wages,0,22,1
243,mf_skyscraper,bls_qcew_county_naics_establishments,0,23,1
261,mf_skyscraper,bls_qcew_county_naics_avg_weekly_wage,0,24,1
252,mf_skyscraper,bls_qcew_allocated_county_soc_estimated_employment,0,25,1
342,mf_skyscraper,cybersyn_irs_migration_by_characteristic_value,0,26,1
351,mf_skyscraper,cybersyn_irs_od_migration_value,0,27,1
360,mf_skyscraper,cybersyn_irs_migration_by_characteristic_value_cbsa,0,28,1
369,mf_skyscraper,cybersyn_irs_od_migration_value_cbsa,0,29,1
180,mf_skyscraper,cybersyn_fhfa_mortgage_performance_value_county,0,30,1
189,mf_skyscraper,cybersyn_fhfa_mortgage_performance_value_cbsa,0,31,1
405,mf_skyscraper,pretium_epoch_gwa_crosswalk_exposure_weight,0,32,1
414,mf_skyscraper,dol_onet_soc_gwa_activity_risk_score,0,33,1
423,mf_skyscraper,dol_onet_soc_work_context_friction_index,0,34,1
432,mf_skyscraper,dol_onet_soc_ai_friction_adjusted_exposure,0,35,1
441,mf_skyscraper,county_ai_replacement_risk_combined_score,0,36,1
171,mf_skyscraper,freddie_mac_housing_timeseries_value,0,37,1
270,mf_skyscraper,progress_fund_spine_property_number,0,38,1
279,mf_skyscraper,progress_fund_spine_cap_rate,0,39,1
288,mf_skyscraper,progress_fund_spine_gross_yield,0,40,1
297,mf_skyscraper,progress_fund_spine_home_condition_score,0,41,1
306,mf_skyscraper,progress_fund_spine_yardi_tier,0,42,1
315,mf_skyscraper,progress_fund_spine_yardi_property_status,0,43,1
117,mf_skyscraper,progress_acquisition_uw_acquisition_purchase_price,0,44,1
126,mf_skyscraper,progress_acquisition_uw_acquisition_cap_rate,0,45,1
135,mf_skyscraper,progress_acquisition_uw_acquisition_net_yield,0,46,1
144,mf_skyscraper,progress_acquisition_uw_fdd_purchase_price,0,47,1
153,mf_skyscraper,progress_acquisition_uw_fdd_closing_date,0,48,1
162,mf_skyscraper,progress_acquisition_uw_fdd_stabilized,0,49,1
621,mf_skyscraper,zillow_rental_forecasts_observe,0,50,0
639,mf_skyscraper,markerr_rent_listings_county_cnt_multi_family,0,51,0
531,mf_skyscraper,markerr_rent_sfr_observe,0,52,0
504,mf_skyscraper,costar_mf_market_cbsa_monthly_observe,0,53,0
